Model Alias,Actual Model Name,Group,Judgments,Factual,Completeness,Clarity,Usefulness,Overall
M1,Gemma-2-2B,Open-source,45,3.04,2.8,4.18,3.36,3.36
M2,Qwen2.5-1.5B-Instruct,Open-source,45,3.09,2.84,4.18,3.33,3.33
M3,CodeGemma-2B,Open-source,45,3.02,2.73,3.82,3.13,3.18
M4,Qwen2.5-Coder-1.5B-Instruct,Open-source,25,3.32,3.2,4.32,3.56,3.56
M5,Gemma-2-2B-LORA,Open-source,45,3.53,3.13,4.33,3.73,3.73
M6,Qwen2.5-1.5B-Instruct_LORA,Open-source,45,3.24,2.93,4.24,3.49,3.49
M7,CodeGemma-2B_LORA,Open-source,45,3.64,3.18,4.36,3.8,3.8
M8,Qwen2.5-Coder-1.5B-Instruct-LORA,Open-source,45,3.27,2.98,4.36,3.58,3.58
M9,GPT-5.1,Commercial,45,3.18,2.8,4.16,3.4,3.4
M10,GPT-5.1-Codex,Commercial,45,3.09,2.73,4.22,3.36,3.36
M11,Gemini-3-Flash-Preview,Commercial,45,3.22,2.87,4.24,3.49,3.49
M12,DeepSeek-Chat-v3.2,Commercial,45,3.29,3.02,4.18,3.58,3.58
Overall Averages,,,520,3.24,2.93,4.21,3.48,3.49
