absolute_source_path,source_relative_path,filename,extension,size_bytes,modified_timestamp_utc,sha256,mime_or_logical_type,implementation_stage,candidate_model_slug,candidate_language,candidate_prompt_regime,candidate_sample_count,candidate_artefact_type,diagnostic_markers,credential_or_private_risk,absolute_path_count,proposed_destination,publication_action,rationale,confidence_level,manual_review
C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\outputs\batches\gpt_5_1_P1_zero_shot_python_400_v1\batch_errors.jsonl,outputs/batches/gpt_5_1_P1_zero_shot_python_400_v1/batch_errors.jsonl,batch_errors.jsonl,.jsonl,184000,2026-04-16T17:21:20.966845+00:00,634d3216609f4dcf9a691f54484bc1480551fb9b7516c1acc0e265fa0ee741e4,application/octet-stream,unknown,gpt_5_1,python,ZS,400,unknown_manual_review,,,0,,manual_review,unclassified artefact,low,YES
C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\outputs\segregated_results\commercial-base\batches\gpt_5_1_P1_zero_shot_python_400_v1\batch_errors.jsonl,outputs/segregated_results/commercial-base/batches/gpt_5_1_P1_zero_shot_python_400_v1/batch_errors.jsonl,batch_errors.jsonl,.jsonl,184000,2026-04-16T17:21:20.966845+00:00,634d3216609f4dcf9a691f54484bc1480551fb9b7516c1acc0e265fa0ee741e4,application/octet-stream,unknown,gpt_5_1,python,ZS,400,unknown_manual_review,,,0,,manual_review,unclassified artefact,low,YES
C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\outputs\segregated_results\commercial-base\may2026\commercial-new\deepseek_chat_P1_few_shot_java_400_v1_detailed.jsonl,outputs/segregated_results/commercial-base/may2026/commercial-new/deepseek_chat_P1_few_shot_java_400_v1_detailed.jsonl,deepseek_chat_P1_few_shot_java_400_v1_detailed.jsonl,.jsonl,340791,2026-05-11T17:01:17.042074+00:00,5937954c6c2c9043c6806cab4b03ef41f8be148158eb152fe4a1f0419ed1b143,application/octet-stream,unknown,deepseek_chat_v3_2,java,FS,400,unknown_manual_review,,,13,,manual_review,unclassified artefact,low,YES
C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\outputs\segregated_results\commercial-base\may2026\commercial-new\deepseek_chat_P1_few_shot_java_400_v1_summary.json,outputs/segregated_results/commercial-base/may2026/commercial-new/deepseek_chat_P1_few_shot_java_400_v1_summary.json,deepseek_chat_P1_few_shot_java_400_v1_summary.json,.json,1087,2026-05-11T17:01:17.052072+00:00,c8448f2d73b915591e0f16bc86458955c4195de8e4526239bb75a10b3aa3f68c,application/json,unknown,deepseek_chat_v3_2,java,FS,400,unknown_manual_review,,,0,,manual_review,unclassified artefact,low,YES
C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\outputs\segregated_results\commercial-base\may2026\commercial-new\deepseek_chat_P1_few_shot_javascript_400_v1_detailed.jsonl,outputs/segregated_results/commercial-base/may2026/commercial-new/deepseek_chat_P1_few_shot_javascript_400_v1_detailed.jsonl,deepseek_chat_P1_few_shot_javascript_400_v1_detailed.jsonl,.jsonl,331814,2026-05-11T16:58:59.828155+00:00,7cd6f217d12bbd8f51e6a0df9e506dd4612a87fcf30cbd9f72e2152ecaa435e9,application/octet-stream,unknown,deepseek_chat_v3_2,javascript,FS,400,unknown_manual_review,,,13,,manual_review,unclassified artefact,low,YES
C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\outputs\segregated_results\commercial-base\may2026\commercial-new\deepseek_chat_P1_few_shot_javascript_400_v1_summary.json,outputs/segregated_results/commercial-base/may2026/commercial-new/deepseek_chat_P1_few_shot_javascript_400_v1_summary.json,deepseek_chat_P1_few_shot_javascript_400_v1_summary.json,.json,1095,2026-05-11T16:58:59.846155+00:00,7b098a143ae41c03a4e8d4f77f23264690d03dcac7b93e1b8bfb90de30838ea6,application/json,unknown,deepseek_chat_v3_2,javascript,FS,400,unknown_manual_review,,,0,,manual_review,unclassified artefact,low,YES
C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\outputs\segregated_results\commercial-base\may2026\commercial-new\deepseek_chat_P1_few_shot_python_400_v1_detailed.jsonl,outputs/segregated_results/commercial-base/may2026/commercial-new/deepseek_chat_P1_few_shot_python_400_v1_detailed.jsonl,deepseek_chat_P1_few_shot_python_400_v1_detailed.jsonl,.jsonl,335475,2026-05-11T17:03:09.435462+00:00,cf2d8f0dc41b965f27b60effc764d56d7c991040441cb45ec3a745404930aeb5,application/octet-stream,unknown,deepseek_chat_v3_2,python,FS,400,unknown_manual_review,,,15,,manual_review,unclassified artefact,low,YES
C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\outputs\segregated_results\commercial-base\may2026\commercial-new\deepseek_chat_P1_few_shot_python_400_v1_summary.json,outputs/segregated_results/commercial-base/may2026/commercial-new/deepseek_chat_P1_few_shot_python_400_v1_summary.json,deepseek_chat_P1_few_shot_python_400_v1_summary.json,.json,1095,2026-05-11T17:03:09.453461+00:00,32adacaa4ad707b844c29de0baa4cf3f7f8acc7e87dcb6fbdb48d48ba27259fd,application/json,unknown,deepseek_chat_v3_2,python,FS,400,unknown_manual_review,,,0,,manual_review,unclassified artefact,low,YES
C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\outputs\segregated_results\commercial-base\may2026\commercial-new\deepseek_chat_P1_one_shot_java_400_v1_detailed.jsonl,outputs/segregated_results/commercial-base/may2026/commercial-new/deepseek_chat_P1_one_shot_java_400_v1_detailed.jsonl,deepseek_chat_P1_one_shot_java_400_v1_detailed.jsonl,.jsonl,335760,2026-05-11T17:06:55.530602+00:00,194ad90feca61636cc49d3bc085b16297bcd9c951648a4f65d6e7837fd4f39b7,application/octet-stream,unknown,deepseek_chat_v3_2,java,OS,400,unknown_manual_review,,,13,,manual_review,unclassified artefact,low,YES
C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\outputs\segregated_results\commercial-base\may2026\commercial-new\deepseek_chat_P1_one_shot_java_400_v1_summary.json,outputs/segregated_results/commercial-base/may2026/commercial-new/deepseek_chat_P1_one_shot_java_400_v1_summary.json,deepseek_chat_P1_one_shot_java_400_v1_summary.json,.json,1085,2026-05-11T17:06:55.542600+00:00,429a45c902ce080efdb893560fcb0ff6eb54a03829c33c4ad4b15b09521178e1,application/json,unknown,deepseek_chat_v3_2,java,OS,400,unknown_manual_review,,,0,,manual_review,unclassified artefact,low,YES
