duplicate_group,sha256,group_size,size_bytes,source_relative_path
1,ad7e776ddbb28fb961a99be58fa342392c0472dc45d41b42281c9f3218913372,9,380871,outputs/correctness/qwen25_coder_1_5b_instruct_P1_zero_shot_python_400_v1_correctness.json_detailed.jsonl
1,ad7e776ddbb28fb961a99be58fa342392c0472dc45d41b42281c9f3218913372,9,380871,outputs/correctness/qwen25_coder_1_5b_instruct_P1_zero_shot_python_400_v1_correctness_detailed.jsonl
1,ad7e776ddbb28fb961a99be58fa342392c0472dc45d41b42281c9f3218913372,9,380871,outputs/evaluation-and-correctness-may2026/open-source/qwen25_coder_1_5b_instruct_P1_zero_shot_python_400_v1_code_grounded_detailed.jsonl
1,ad7e776ddbb28fb961a99be58fa342392c0472dc45d41b42281c9f3218913372,9,380871,outputs/evaluation_And_corrctness_may2026_1/saturation_experiment/qwen25_coder_1_5b_instruct_P1_zero_shot_python_400_v1_code_grounded_detailed.jsonl
1,ad7e776ddbb28fb961a99be58fa342392c0472dc45d41b42281c9f3218913372,9,380871,outputs/segregated_results/open-source-base/_long_paths/867cc405e2ce_qwen25_coder_1_5b_instruct_P1_zero_shot_python_400_v1_code_grounded_detailed.jsonl
1,ad7e776ddbb28fb961a99be58fa342392c0472dc45d41b42281c9f3218913372,9,380871,outputs/segregated_results/open-source-base/correctness/qwen25_coder_1_5b_instruct_P1_zero_shot_python_400_v1_correctness.json_detailed.jsonl
1,ad7e776ddbb28fb961a99be58fa342392c0472dc45d41b42281c9f3218913372,9,380871,outputs/segregated_results/open-source-base/correctness/qwen25_coder_1_5b_instruct_P1_zero_shot_python_400_v1_correctness_detailed.jsonl
1,ad7e776ddbb28fb961a99be58fa342392c0472dc45d41b42281c9f3218913372,9,380871,outputs/segregated_results/open-source-base/may2026/open-source/qwen25_coder_1_5b_instruct_P1_zero_shot_python_400_v1_code_grounded_detailed.jsonl
1,ad7e776ddbb28fb961a99be58fa342392c0472dc45d41b42281c9f3218913372,9,380871,outputs/segregated_results/open-source-base/may2026_legacy/saturation_experiment/qwen25_coder_1_5b_instruct_P1_zero_shot_python_400_v1_code_grounded_detailed.jsonl
2,1dd4d9416cbd79c468e31ffa4c7b715fb4b9df53cc33e14c17b2e18dd4a369d6,6,7870,outputs/correctness/qwen25_coder_1_5b_instruct_P1_one_shot_javascript_10_smoke_v2_correctness.json_detailed.jsonl
2,1dd4d9416cbd79c468e31ffa4c7b715fb4b9df53cc33e14c17b2e18dd4a369d6,6,7870,outputs/correctness/qwen25_coder_1_5b_instruct_P1_one_shot_javascript_400_v2_repaired_correctness.json_detailed.jsonl
2,1dd4d9416cbd79c468e31ffa4c7b715fb4b9df53cc33e14c17b2e18dd4a369d6,6,7870,outputs/evaluation-and-correctness-may2026/open-source/qwen25_coder_1_5b_instruct_P1_one_shot_javascript_400_v2_repaired_code_grounded_detailed.jsonl
2,1dd4d9416cbd79c468e31ffa4c7b715fb4b9df53cc33e14c17b2e18dd4a369d6,6,7870,outputs/segregated_results/open-source-base/correctness/qwen25_coder_1_5b_instruct_P1_one_shot_javascript_10_smoke_v2_correctness.json_detailed.jsonl
2,1dd4d9416cbd79c468e31ffa4c7b715fb4b9df53cc33e14c17b2e18dd4a369d6,6,7870,outputs/segregated_results/open-source-base/correctness/qwen25_coder_1_5b_instruct_P1_one_shot_javascript_400_v2_repaired_correctness.json_detailed.jsonl
2,1dd4d9416cbd79c468e31ffa4c7b715fb4b9df53cc33e14c17b2e18dd4a369d6,6,7870,outputs/segregated_results/open-source-base/may2026/open-source/qwen25_coder_1_5b_instruct_P1_one_shot_javascript_400_v2_repaired_code_grounded_detailed.jsonl
3,7919babf93c7ab89ce8f18cc1eccc95792468cad53b127ca9cd712bbfd214e5e,6,350041,outputs/correctness/qwen25_coder_1_5b_instruct_P1_few_shot_python_400_v1_correctness.json_detailed.jsonl
3,7919babf93c7ab89ce8f18cc1eccc95792468cad53b127ca9cd712bbfd214e5e,6,350041,outputs/correctness/qwen25_coder_1_5b_instruct_P1_few_shot_python_400_v1_correctness_detailed.jsonl
3,7919babf93c7ab89ce8f18cc1eccc95792468cad53b127ca9cd712bbfd214e5e,6,350041,outputs/evaluation-and-correctness-may2026/open-source/qwen25_coder_1_5b_instruct_P1_few_shot_python_400_v1_code_grounded_detailed.jsonl
3,7919babf93c7ab89ce8f18cc1eccc95792468cad53b127ca9cd712bbfd214e5e,6,350041,outputs/segregated_results/open-source-base/correctness/qwen25_coder_1_5b_instruct_P1_few_shot_python_400_v1_correctness.json_detailed.jsonl
