family,model,language,prompt,bleu,rougeL,bertscore,parameter_coverage,return_coverage,exception_coverage,omission_rate,hallucination_sample_rate
commercial-new,deepseek-chat,java,ZS,0.0212,0.2247,0.8589,0.3884,0.3385,0.073,0.649,0.015
commercial-new,deepseek-chat,java,OS,0.0208,0.2228,0.8577,0.3872,0.3769,0.1569,0.6336,0.01
commercial-new,deepseek-chat,java,FS,0.0224,0.2271,0.857,0.4206,0.45,0.1934,0.5831,0.0175
commercial-new,gemini-3-flash-preview,java,ZS,0.0261,0.2366,0.8603,0.367,0.3269,0.0219,0.6798,0.01
commercial-new,gemini-3-flash-preview,java,OS,0.0289,0.2472,0.8616,0.4777,0.5038,0.3929,0.5018,0.03
commercial-new,gemini-3-flash-preview,java,FS,0.0417,0.2823,0.8658,0.6758,0.75,0.3978,0.3333,0.0475
commercial-new,gpt-5.1,java,ZS,0.023,0.2365,0.858,0.4551,0.6808,0.1606,0.5013,0.02
commercial-new,gpt-5.1,java,OS,0.0223,0.2359,0.8573,0.4407,0.6962,0.3248,0.4814,0.0275
commercial-new,gpt-5.1,java,FS,0.023,0.2297,0.8571,0.4334,0.6115,0.2664,0.5195,0.0225
commercial-new,gpt-5.1-codex,java,ZS,0.0186,0.2159,0.8547,0.4909,0.5577,0.2299,0.513,0.02
commercial-new,gpt-5.1-codex,java,OS,0.0185,0.2127,0.8538,0.4948,0.5115,0.3212,0.5049,0.035
commercial-new,gpt-5.1-codex,java,FS,0.0176,0.2093,0.8531,0.5047,0.5,0.3175,0.4983,0.035
open-source,Qwen/Qwen2.5-1.5B-Instruct,java,ZS,0.0157,0.2009,0.8549,0.3376,0.2962,0.0073,0.7088,0.0075
open-source,Qwen/Qwen2.5-1.5B-Instruct,java,OS,0.0187,0.2003,0.8509,0.3826,0.4808,0.0146,0.6312,0.035
open-source,Qwen/Qwen2.5-1.5B-Instruct,java,FS,0.0236,0.232,0.8591,0.49,0.5923,0.281,0.5066,0.0575
open-source,Qwen/Qwen2.5-Coder-1.5B-Instruct,java,ZS,0.0176,0.1915,0.8459,0.4566,0.6385,0.1606,0.5278,0.0575
open-source,Qwen/Qwen2.5-Coder-1.5B-Instruct,java,OS,0.0238,0.2188,0.8541,0.3821,0.3654,0.0365,0.6638,0.02
open-source,Qwen/Qwen2.5-Coder-1.5B-Instruct,java,FS,0.0185,0.1957,0.8471,0.473,0.7154,0.3686,0.4676,0.0675
open-source,google/codegemma-2b,java,ZS,0.0077,0.1175,0.8297,0.4767,0.5615,0.1022,0.5449,0.1925
open-source,google/codegemma-2b,java,OS,0.0213,0.2327,0.8603,0.2965,0.3731,0.0036,0.7141,0.0125
open-source,google/codegemma-2b,java,FS,0.0421,0.2574,0.8552,0.8163,0.8692,0.455,0.2267,0.2725
open-source,google/gemma-2-2b-it,java,ZS,0.0185,0.2142,0.8591,0.3869,0.4346,0.0036,0.6613,0.0225
