artifact_id,source_absolute_path,source_relative_path,extension,size_bytes,modified_timestamp_utc,sha256,artifact_type,model_slug,language,prompt_slug,sample_count,is_smoke,is_test,is_partial,is_duplicate,canonical_artifact_id,publication_decision,public_destination,reason
src_00001,C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\data\finetune\smoke_24_multilang.jsonl,data/finetune/smoke_24_multilang.jsonl,.jsonl,53607,2026-05-01T14:13:47.940965+00:00,ffae564536fa2fae75c00f2cf0956bf17a1ee49895569881f49b5befe0e5b1da,smoke_output,,,,,True,False,False,,,EXCLUDE_INTERMEDIATE,,"diagnostic, incomplete, or superseded artefact"
src_00002,C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\data\finetune\train_3000_multilang.jsonl,data/finetune/train_3000_multilang.jsonl,.jsonl,7077308,2026-05-01T14:13:48.105539+00:00,2ad601b66827211333e3afcdec433b9d5bd38e9ed532d30d48bb0a30a96742b8,lora_training_input,,,,,False,False,False,,,EXCLUDE_INTERMEDIATE,,not part of selected compact public evidence
src_00003,C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\data\finetune\valid_300_multilang.jsonl,data/finetune/valid_300_multilang.jsonl,.jsonl,668530,2026-05-01T14:13:47.959226+00:00,533b7058f76562f9d17596dd41e4d77b6ada527ff876f283222e35ea876515fa,processed_dataset,,,,300,False,False,False,,,EXCLUDE_INTERMEDIATE,,not part of selected compact public evidence
src_00004,C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\data\human_eval_selected_ids_60.txt,data/human_eval_selected_ids_60.txt,.txt,880,2026-04-22T17:14:18.416995+00:00,9e1140909eae954d2cbc4c341cde176a3940695e1d61d669c2ebcd931d00c511,human_evaluation_input,,,,,False,False,False,,,EXCLUDE_INTERMEDIATE,,not part of selected compact public evidence
src_00005,C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\data\processed\codesearchnet_balanced_15000.jsonl,data/processed/codesearchnet_balanced_15000.jsonl,.jsonl,17319227,2026-03-27T07:26:19.206056+00:00,e50318a7293e6a5236cc754ba2c0b95d59ca088f12f4136fb9bc0e83b53556c8,processed_dataset,,,,15000,False,False,False,,,EXCLUDE_INTERMEDIATE,,not part of selected compact public evidence
src_00006,C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\data\processed\codesearchnet_balanced_15000_summary.json,data/processed/codesearchnet_balanced_15000_summary.json,.json,596,2026-03-27T07:26:19.251060+00:00,dee1906d282cf947315805807aa31ccec2813bc1cdb00e2aa9f033e2cc6fee2d,processed_dataset,,,,15000,False,False,False,,,EXCLUDE_INTERMEDIATE,,not part of selected compact public evidence
src_00007,C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\data\processed\codesearchnet_pilot.jsonl,data/processed/codesearchnet_pilot.jsonl,.jsonl,500686,2026-03-20T05:14:40.316751+00:00,ef3793180b7524df6e0241b4ce22c30c3099d90c196c8235013dce51cf478f64,processed_dataset,,,,,False,False,False,,,EXCLUDE_INTERMEDIATE,,not part of selected compact public evidence
src_00008,C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\data\processed\codesearchnet_pilot_summary.json,data/processed/codesearchnet_pilot_summary.json,.json,590,2026-03-20T05:14:40.321751+00:00,7e4abeb113a19aa0ddb63c89f20baa8c166821f36c0ef4f52d2e3d5eac7227ae,processed_dataset,,,,,False,False,False,,,EXCLUDE_INTERMEDIATE,,not part of selected compact public evidence
src_00009,C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\data\processed\demo_bank.jsonl,data/processed/demo_bank.jsonl,.jsonl,14669,2026-03-20T05:19:28.801302+00:00,37b0eac3ad010f3b4de2d0714eaa743b7c4bfc3006e2b5ff05fae3476ed497bd,demonstration_bank,,,,,False,False,False,,,EXCLUDE_INTERMEDIATE,,not part of selected compact public evidence
src_00010,C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\data\processed\prompted\P1_zero_shot.jsonl,data/processed/prompted/P1_zero_shot.jsonl,.jsonl,799436,2026-03-20T05:18:54.584212+00:00,0192b8246541658f70bca8806e52ff7446fb7f86e8f7c52a1cac6cbbc3ffe727,prompt_artefact,,,zs,,False,False,False,,,EXCLUDE_INTERMEDIATE,,not part of selected compact public evidence
