condition_id,model_slug,language,prompt_slug,condition_path,run_manifest,validation_status
deepseek_chat_v3_2__java__fs,deepseek_chat_v3_2,java,fs,experiments/core_400/deepseek_chat_v3_2/java/fs,experiments/core_400/deepseek_chat_v3_2/java/fs/run_manifest.json,PASS
deepseek_chat_v3_2__java__os,deepseek_chat_v3_2,java,os,experiments/core_400/deepseek_chat_v3_2/java/os,experiments/core_400/deepseek_chat_v3_2/java/os/run_manifest.json,PASS
deepseek_chat_v3_2__java__zs,deepseek_chat_v3_2,java,zs,experiments/core_400/deepseek_chat_v3_2/java/zs,experiments/core_400/deepseek_chat_v3_2/java/zs/run_manifest.json,PASS
deepseek_chat_v3_2__javascript__fs,deepseek_chat_v3_2,javascript,fs,experiments/core_400/deepseek_chat_v3_2/javascript/fs,experiments/core_400/deepseek_chat_v3_2/javascript/fs/run_manifest.json,PASS
deepseek_chat_v3_2__javascript__os,deepseek_chat_v3_2,javascript,os,experiments/core_400/deepseek_chat_v3_2/javascript/os,experiments/core_400/deepseek_chat_v3_2/javascript/os/run_manifest.json,PASS
deepseek_chat_v3_2__javascript__zs,deepseek_chat_v3_2,javascript,zs,experiments/core_400/deepseek_chat_v3_2/javascript/zs,experiments/core_400/deepseek_chat_v3_2/javascript/zs/run_manifest.json,PASS
deepseek_chat_v3_2__python__fs,deepseek_chat_v3_2,python,fs,experiments/core_400/deepseek_chat_v3_2/python/fs,experiments/core_400/deepseek_chat_v3_2/python/fs/run_manifest.json,PASS
deepseek_chat_v3_2__python__os,deepseek_chat_v3_2,python,os,experiments/core_400/deepseek_chat_v3_2/python/os,experiments/core_400/deepseek_chat_v3_2/python/os/run_manifest.json,PASS
deepseek_chat_v3_2__python__zs,deepseek_chat_v3_2,python,zs,experiments/core_400/deepseek_chat_v3_2/python/zs,experiments/core_400/deepseek_chat_v3_2/python/zs/run_manifest.json,PASS
gemini_3_flash__java__fs,gemini_3_flash,java,fs,experiments/core_400/gemini_3_flash/java/fs,experiments/core_400/gemini_3_flash/java/fs/run_manifest.json,PASS
