logical_group,model_slug,language,prompt_regime,artefact_type,candidate_sample_count,size_bytes,sha256,diagnostic_markers,source_relative_path
1,codegemma_2b,java,FS,code_grounded_detailed,400,358643,9b0f072583acbdbfcc63b9009b185c1650ff284eac29a04661e86cb9c1c91079,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_few_shot_java_400_v1_code_grounded_detailed.jsonl
1,codegemma_2b,java,FS,code_grounded_detailed,400,374247,04a086e5aa7b6828de3d25567a12405728a38fce80d972493425640056307a72,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_few_shot_java_400_v1_detailed.jsonl
1,codegemma_2b,java,FS,code_grounded_detailed,400,358643,9b0f072583acbdbfcc63b9009b185c1650ff284eac29a04661e86cb9c1c91079,,outputs/segregated_results/open-source-base/may2026/open-source/codegemma_2b_P1_few_shot_java_400_v1_code_grounded_detailed.jsonl
2,codegemma_2b,java,FS,code_grounded_summary,400,1288,a416e2b98d635bc8bfd47fabc909b4b7859532c57aca2d8dafb47285b216d4bb,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_few_shot_java_400_v1_code_grounded_summary.json
2,codegemma_2b,java,FS,code_grounded_summary,400,1091,a7b8f272da765d4ee923ea56e91e8710645ecd426fd4a13bf16011f71b59bb01,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_few_shot_java_400_v1_summary.json
2,codegemma_2b,java,FS,code_grounded_summary,400,1288,a416e2b98d635bc8bfd47fabc909b4b7859532c57aca2d8dafb47285b216d4bb,,outputs/segregated_results/open-source-base/may2026/open-source/codegemma_2b_P1_few_shot_java_400_v1_code_grounded_summary.json
3,codegemma_2b,java,FS,raw_generation,400,439629,072f39b9dd9b4b1fd3f322ceae310a14e938f745d5db579b2f1123225f8ba8fe,,outputs/raw_generations/codegemma_2b_P1_few_shot_java_400_v1.jsonl
3,codegemma_2b,java,FS,raw_generation,400,439629,072f39b9dd9b4b1fd3f322ceae310a14e938f745d5db579b2f1123225f8ba8fe,,outputs/raw_generations/open-source/codegemma_2b_P1_few_shot_java_400_v1.jsonl
4,codegemma_2b,java,OS,automatic_evaluation_detailed,400,315727,915385d761ac609149d27ddcf472955a20014cb6654cedc15d4d3218706b5786,,outputs/evaluations/codegemma_2b_P1_one_shot_java_400_v1_eval.json_detailed.jsonl
4,codegemma_2b,java,OS,automatic_evaluation_detailed,400,315727,915385d761ac609149d27ddcf472955a20014cb6654cedc15d4d3218706b5786,,outputs/segregated_results/open-source-base/eval/codegemma_2b_P1_one_shot_java_400_v1_eval.json_detailed.jsonl
5,codegemma_2b,java,OS,automatic_evaluation_summary,400,1081,f318fec16648bef786938486ecf7c3a7d35312bce59eb9bf60db89a0d24e45e6,,outputs/evaluations/codegemma_2b_P1_one_shot_java_400_v1_eval.json_summary.json
5,codegemma_2b,java,OS,automatic_evaluation_summary,400,1081,f318fec16648bef786938486ecf7c3a7d35312bce59eb9bf60db89a0d24e45e6,,outputs/segregated_results/open-source-base/eval/codegemma_2b_P1_one_shot_java_400_v1_eval.json_summary.json
6,codegemma_2b,java,OS,code_grounded_detailed,400,299833,713ced3f94f6b680d53c5c1ce42ef32b8fdb005bd6b5aa5bc141cd52a93e7433,,outputs/correctness/codegemma_2b_P1_one_shot_java_400_v1_correctness.json_detailed.jsonl
6,codegemma_2b,java,OS,code_grounded_detailed,400,299833,713ced3f94f6b680d53c5c1ce42ef32b8fdb005bd6b5aa5bc141cd52a93e7433,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_one_shot_java_400_v1_code_grounded_detailed.jsonl
6,codegemma_2b,java,OS,code_grounded_detailed,400,315728,208e55ca4ead8302c9fba0b414671e70fad7418fb079cd165202a5a85323eaf0,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_one_shot_java_400_v1_detailed.jsonl
6,codegemma_2b,java,OS,code_grounded_detailed,400,299833,713ced3f94f6b680d53c5c1ce42ef32b8fdb005bd6b5aa5bc141cd52a93e7433,,outputs/segregated_results/open-source-base/correctness/codegemma_2b_P1_one_shot_java_400_v1_correctness.json_detailed.jsonl
6,codegemma_2b,java,OS,code_grounded_detailed,400,299833,713ced3f94f6b680d53c5c1ce42ef32b8fdb005bd6b5aa5bc141cd52a93e7433,,outputs/segregated_results/open-source-base/may2026/open-source/codegemma_2b_P1_one_shot_java_400_v1_code_grounded_detailed.jsonl
7,codegemma_2b,java,OS,code_grounded_summary,400,1282,05b1b8fa2c8b968254f9c3a5712f5fe31b67d7279f6bf779879245ff90489472,,outputs/correctness/codegemma_2b_P1_one_shot_java_400_v1_correctness.json_summary.json
7,codegemma_2b,java,OS,code_grounded_summary,400,1294,b3d9371313411defe09187bc8afb19fea10442cb9e632f57bc7fe25938b6a52d,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_one_shot_java_400_v1_code_grounded_summary.json
7,codegemma_2b,java,OS,code_grounded_summary,400,1093,fb93da3e1707406a8bb40fc7812d2d4a9d3500ae2d9eff88f7fe55d244e257b5,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_one_shot_java_400_v1_summary.json
7,codegemma_2b,java,OS,code_grounded_summary,400,1282,05b1b8fa2c8b968254f9c3a5712f5fe31b67d7279f6bf779879245ff90489472,,outputs/segregated_results/open-source-base/correctness/codegemma_2b_P1_one_shot_java_400_v1_correctness.json_summary.json
7,codegemma_2b,java,OS,code_grounded_summary,400,1294,b3d9371313411defe09187bc8afb19fea10442cb9e632f57bc7fe25938b6a52d,,outputs/segregated_results/open-source-base/may2026/open-source/codegemma_2b_P1_one_shot_java_400_v1_code_grounded_summary.json
8,codegemma_2b,java,OS,raw_generation,400,182193,c2d4b1096244186cfe66786ee4149d46c273e7168d85b027bab8c8dfa84d488d,,outputs/raw_generations/codegemma_2b_P1_one_shot_java_400_v1.jsonl
8,codegemma_2b,java,OS,raw_generation,400,182193,c2d4b1096244186cfe66786ee4149d46c273e7168d85b027bab8c8dfa84d488d,,outputs/raw_generations/open-source/codegemma_2b_P1_one_shot_java_400_v1.jsonl
9,codegemma_2b,java,ZS,code_grounded_detailed,400,399797,97a0e9223a945ad40aca47a51594b46e6bdd5d3401b6499abceb5627ff1bfa60,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_zero_shot_java_400_v1_code_grounded_detailed.jsonl
9,codegemma_2b,java,ZS,code_grounded_detailed,400,411779,ba45db8063b8232aa4cd240e095a45127819af3e8fd6d2d3a8fffa8f5af40483,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_zero_shot_java_400_v1_detailed.jsonl
9,codegemma_2b,java,ZS,code_grounded_detailed,400,399797,97a0e9223a945ad40aca47a51594b46e6bdd5d3401b6499abceb5627ff1bfa60,,outputs/segregated_results/open-source-base/may2026/open-source/codegemma_2b_P1_zero_shot_java_400_v1_code_grounded_detailed.jsonl
10,codegemma_2b,java,ZS,code_grounded_summary,400,1293,42d3018bab38709bd5a4483f649724afe354d0653ad3d21bab25c90a96aef636,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_zero_shot_java_400_v1_code_grounded_summary.json
