absolute_source_path,source_relative_path,filename,extension,size_bytes,modified_timestamp_utc,sha256,mime_or_logical_type,implementation_stage,candidate_model_slug,candidate_language,candidate_prompt_regime,candidate_sample_count,candidate_artefact_type,diagnostic_markers,credential_or_private_risk,absolute_path_count,proposed_destination,publication_action,rationale,confidence_level,manual_review
C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\data\processed\prompted\P1_zero_shot.jsonl,data/processed/prompted/P1_zero_shot.jsonl,P1_zero_shot.jsonl,.jsonl,799436,2026-03-20T05:18:54.584212+00:00,0192b8246541658f70bca8806e52ff7446fb7f86e8f7c52a1cac6cbbc3ffe727,application/octet-stream,prompt_construction,,,ZS,,prompt_artefact,,,100,,include_git,publication-safe candidate subject to core selection and deduplication,high,NO
C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\data\processed\prompted\P1_zero_shot_100.jsonl,data/processed/prompted/P1_zero_shot_100.jsonl,P1_zero_shot_100.jsonl,.jsonl,201325,2026-03-18T17:05:15.800815+00:00,f649d58d08954ac62c393d04349380d88b768c7c2e542b6b49ac4c2945d172a6,application/octet-stream,prompt_construction,,,ZS,100,prompt_artefact,,,100,,include_git,publication-safe candidate subject to core selection and deduplication,high,NO
C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\data\processed\prompted\P1_zero_shot_20.jsonl,data/processed/prompted/P1_zero_shot_20.jsonl,P1_zero_shot_20.jsonl,.jsonl,43250,2026-03-16T17:09:18.994658+00:00,3f6bd643552350a9925f70be79d1b02f8dae871a3b5e0e87f475e315637619cf,application/octet-stream,prompt_construction,,,ZS,,prompt_artefact,,,47,,include_git,publication-safe candidate subject to core selection and deduplication,high,NO
C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\data\processed\prompted\P1_zero_shot_5.jsonl,data/processed/prompted/P1_zero_shot_5.jsonl,P1_zero_shot_5.jsonl,.jsonl,13393,2026-03-15T14:30:33.151515+00:00,84409bfb7e252b38b473de2caa66b6c401c3cc21a0a4923ac3e4d412eb725c87,application/octet-stream,prompt_construction,,,ZS,,prompt_artefact,,,12,,include_git,publication-safe candidate subject to core selection and deduplication,high,NO
C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\data\processed\prompted\P1_zero_shot_balanced_15000.jsonl,data/processed/prompted/P1_zero_shot_balanced_15000.jsonl,P1_zero_shot_balanced_15000.jsonl,.jsonl,35143860,2026-03-27T14:36:43.443737+00:00,7c1f8978bd29e162533c98aa6a31252d99e352bcefaf2b651c961844d584cbc5,application/octet-stream,prompt_construction,,,ZS,15000,prompt_artefact,,,0,,include_git,publication-safe candidate subject to core selection and deduplication,high,NO
C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\data\processed\prompted\P1_zero_shot_balanced_300.jsonl,data/processed/prompted/P1_zero_shot_balanced_300.jsonl,P1_zero_shot_balanced_300.jsonl,.jsonl,527936,2026-03-20T05:19:18.035302+00:00,f55bb44e2dc0c03a3641852b012bb3f130e80fde821def70837356095139ea5c,application/octet-stream,prompt_construction,,,ZS,300,prompt_artefact,,,100,,include_git,publication-safe candidate subject to core selection and deduplication,high,NO
C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\data\processed\prompted_shots\P1_few_shot_java_400.jsonl,data/processed/prompted_shots/P1_few_shot_java_400.jsonl,P1_few_shot_java_400.jsonl,.jsonl,1944000,2026-04-07T17:17:53.887213+00:00,827ff09d64bd7cd721cca3a2821db2ba2a3f5c70470e7d8af2c08ba47438438d,application/octet-stream,prompt_construction,,java,FS,400,prompt_artefact,,,100,,include_git,publication-safe candidate subject to core selection and deduplication,high,NO
C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\data\processed\prompted_shots\P1_few_shot_javascript_400.jsonl,data/processed/prompted_shots/P1_few_shot_javascript_400.jsonl,P1_few_shot_javascript_400.jsonl,.jsonl,1712265,2026-04-07T17:17:53.923105+00:00,ffa10e698a1ac006c14f430d22316b5e6536073bf924e676263830005020ab73,application/octet-stream,prompt_construction,,javascript,FS,400,prompt_artefact,,,100,,include_git,publication-safe candidate subject to core selection and deduplication,high,NO
C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\data\processed\prompted_shots\P1_few_shot_python_200_remaining_from_180.jsonl,data/processed/prompted_shots/P1_few_shot_python_200_remaining_from_180.jsonl,P1_few_shot_python_200_remaining_from_180.jsonl,.jsonl,88163,2026-04-02T16:02:47.030551+00:00,d7c463d5b2f3ce4f19e4c59216ee3a3ef247bcbc0dc229fe45cff1e9fc68ffbc,application/octet-stream,prompt_construction,,python,FS,200,prompt_artefact,,,49,,include_git,publication-safe candidate subject to core selection and deduplication,high,NO
C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\data\processed\prompted_shots\P1_few_shot_python_300.jsonl,data/processed/prompted_shots/P1_few_shot_python_300.jsonl,P1_few_shot_python_300.jsonl,.jsonl,1347865,2026-03-28T17:16:40.961089+00:00,21e8733d57bce2a830938782fc2654e20527cabd455d25441ca41f05dabe3755,application/octet-stream,prompt_construction,,python,FS,300,prompt_artefact,,,100,,include_git,publication-safe candidate subject to core selection and deduplication,high,NO
C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\data\processed\prompted_shots\P1_few_shot_python_400.jsonl,data/processed/prompted_shots/P1_few_shot_python_400.jsonl,P1_few_shot_python_400.jsonl,.jsonl,1818682,2026-04-07T17:17:53.844105+00:00,210a5358362d7ddb5cc8f09f151a50d91b0628e888f95cf588a90d47d23bd0ef,application/octet-stream,prompt_construction,,python,FS,400,prompt_artefact,,,100,,include_git,publication-safe candidate subject to core selection and deduplication,high,NO
C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\data\processed\prompted_shots\P1_few_shot_python_600.jsonl,data/processed/prompted_shots/P1_few_shot_python_600.jsonl,P1_few_shot_python_600.jsonl,.jsonl,2619173,2026-04-03T03:02:56.849161+00:00,e0ef3fcb7cfd8f3f42123af04bc16c229411bbe892171a1b1365dde0ad9b2a13,application/octet-stream,prompt_construction,,python,FS,,prompt_artefact,,,100,,include_git,publication-safe candidate subject to core selection and deduplication,high,NO
C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\data\processed\prompted_shots\P1_one_shot_java_400.jsonl,data/processed/prompted_shots/P1_one_shot_java_400.jsonl,P1_one_shot_java_400.jsonl,.jsonl,1206000,2026-04-07T17:17:52.557096+00:00,d93c65937a96d86555975122e05341d8f12d66cdb4526e62c9fb95b7894b6c7b,application/octet-stream,prompt_construction,,java,OS,400,prompt_artefact,,,100,,include_git,publication-safe candidate subject to core selection and deduplication,high,NO
C:\Pavan\Documents\Personal\Upgrad\CodeSearchNetExecution\dissertation-llm-docs\data\processed\prompted_shots\P1_one_shot_javascript_400.jsonl,data/processed/prompted_shots/P1_one_shot_javascript_400.jsonl,P1_one_shot_javascript_400.jsonl,.jsonl,1333065,2026-04-07T17:17:52.587097+00:00,ea86942562abf78897675095ea16eadc3e723877699a40045f700648f3998073,application/octet-stream,prompt_construction,,javascript,OS,400,prompt_artefact,,,100,,include_git,publication-safe candidate subject to core selection and deduplication,high,NO
