model,language,prompt,metric,aggregate_table_value,summary_file,detailed_file,total_detail_rows,nonnull_rows,null_rows,zero_rows,nonzero_rows,mean_over_nonnull
deepseek-chat,python,OS,parameter_coverage,0.3089590964590964,outputs\segregated_results\commercial-base\correctness\deepseek_chat_P1_one_shot_python_400_v1_correctness.json_summary.json,outputs\segregated_results\commercial-base\correctness\deepseek_chat_P1_one_shot_python_400_v1_correctness.json_detailed.jsonl,400,312,88,172,140,0.30895909645909647
deepseek-chat,python,OS,return_coverage,0.2080291970802919,outputs\segregated_results\commercial-base\correctness\deepseek_chat_P1_one_shot_python_400_v1_correctness.json_summary.json,outputs\segregated_results\commercial-base\correctness\deepseek_chat_P1_one_shot_python_400_v1_correctness.json_detailed.jsonl,400,274,126,217,57,0.20802919708029197
deepseek-chat,python,OS,exception_coverage,0.0625,outputs\segregated_results\commercial-base\correctness\deepseek_chat_P1_one_shot_python_400_v1_correctness.json_summary.json,outputs\segregated_results\commercial-base\correctness\deepseek_chat_P1_one_shot_python_400_v1_correctness.json_detailed.jsonl,400,64,336,60,4,0.0625
deepseek-chat,python,OS,omission_rate,0.7192742791799396,outputs\segregated_results\commercial-base\correctness\deepseek_chat_P1_one_shot_python_400_v1_correctness.json_summary.json,outputs\segregated_results\commercial-base\correctness\deepseek_chat_P1_one_shot_python_400_v1_correctness.json_detailed.jsonl,400,371,29,42,329,0.7192742791799396
deepseek-chat,python,OS,hallucination_flag,0.0075,outputs\segregated_results\commercial-base\correctness\deepseek_chat_P1_one_shot_python_400_v1_correctness.json_summary.json,outputs\segregated_results\commercial-base\correctness\deepseek_chat_P1_one_shot_python_400_v1_correctness.json_detailed.jsonl,400,400,0,397,3,0.0075
deepseek-chat,python,OS,hallucination_count,0.0075,outputs\segregated_results\commercial-base\correctness\deepseek_chat_P1_one_shot_python_400_v1_correctness.json_summary.json,outputs\segregated_results\commercial-base\correctness\deepseek_chat_P1_one_shot_python_400_v1_correctness.json_detailed.jsonl,400,400,0,397,3,0.0075
gemini-3-flash-preview,python,OS,parameter_coverage,0.3765033577533577,outputs\segregated_results\commercial-base\may2026\commercial-new\gemini_3_flash_preview_P1_one_shot_python_400_v1_code_grounded_summary.json,outputs\segregated_results\commercial-base\may2026\commercial-new\gemini_3_flash_preview_P1_one_shot_python_400_v1_code_grounded_detailed.jsonl,400,312,88,148,164,0.37650335775335775
gemini-3-flash-preview,python,OS,return_coverage,0.354014598540146,outputs\segregated_results\commercial-base\may2026\commercial-new\gemini_3_flash_preview_P1_one_shot_python_400_v1_code_grounded_summary.json,outputs\segregated_results\commercial-base\may2026\commercial-new\gemini_3_flash_preview_P1_one_shot_python_400_v1_code_grounded_detailed.jsonl,400,274,126,177,97,0.354014598540146
gemini-3-flash-preview,python,OS,exception_coverage,0.03125,outputs\segregated_results\commercial-base\may2026\commercial-new\gemini_3_flash_preview_P1_one_shot_python_400_v1_code_grounded_summary.json,outputs\segregated_results\commercial-base\may2026\commercial-new\gemini_3_flash_preview_P1_one_shot_python_400_v1_code_grounded_detailed.jsonl,400,64,336,62,2,0.03125
gemini-3-flash-preview,python,OS,omission_rate,0.6378554509282272,outputs\segregated_results\commercial-base\may2026\commercial-new\gemini_3_flash_preview_P1_one_shot_python_400_v1_code_grounded_summary.json,outputs\segregated_results\commercial-base\may2026\commercial-new\gemini_3_flash_preview_P1_one_shot_python_400_v1_code_grounded_detailed.jsonl,400,371,29,64,307,0.6378554509282272
gemini-3-flash-preview,python,OS,hallucination_flag,0.0075,outputs\segregated_results\commercial-base\may2026\commercial-new\gemini_3_flash_preview_P1_one_shot_python_400_v1_code_grounded_summary.json,outputs\segregated_results\commercial-base\may2026\commercial-new\gemini_3_flash_preview_P1_one_shot_python_400_v1_code_grounded_detailed.jsonl,400,400,0,397,3,0.0075
gemini-3-flash-preview,python,OS,hallucination_count,0.0075,outputs\segregated_results\commercial-base\may2026\commercial-new\gemini_3_flash_preview_P1_one_shot_python_400_v1_code_grounded_summary.json,outputs\segregated_results\commercial-base\may2026\commercial-new\gemini_3_flash_preview_P1_one_shot_python_400_v1_code_grounded_detailed.jsonl,400,400,0,397,3,0.0075
