family,model,language,prompt,num_samples,mean_latency_seconds,mean_generated_word_count,bleu,rouge1,rouge2,rougeL,bertscore,parameter_coverage,return_coverage,exception_coverage,omission_rate,hallucination_sample_rate,mean_hallucination_count,input_file,lexical_summary_file,code_grounded_summary_file
commercial-new,deepseek-chat,python,ZS,400,1.8060135,17.605,0.0229493093800091,0.30802208938916187,0.08581221888632716,0.2512553112529651,0.8662145468592644,0.3875915750915751,0.36496350364963503,0.1875,0.6052697751484813,0.0175,0.0175,outputs/segregated_results/commercial-base/raw/commercial-new/deepseek_chat_P1_zero_shot_python_400_v1.jsonl,outputs\segregated_results\commercial-base\may2026\commercial-new\deepseek_chat_P1_zero_shot_python_400_v1_summary.json,outputs\segregated_results\commercial-base\correctness\deepseek_chat_P1_zero_shot_python_400_v1_correctness.json_summary.json
commercial-new,deepseek-chat,python,OS,400,1.83320725,16.0625,0.02511202489856922,0.30147925074495935,0.08500527394756585,0.2507895473635218,0.8691126379370689,0.30895909645909647,0.20802919708029197,0.0625,0.7192742791799396,0.0075,0.0075,outputs/segregated_results/commercial-base/raw/commercial-new/deepseek_chat_P1_one_shot_python_400_v1.jsonl,outputs\segregated_results\commercial-base\may2026\commercial-new\deepseek_chat_P1_one_shot_python_400_v1_summary.json,outputs\segregated_results\commercial-base\correctness\deepseek_chat_P1_one_shot_python_400_v1_correctness.json_summary.json
commercial-new,deepseek-chat,python,FS,400,0.91337025,17.9975,0.02334839460379863,0.31492895837690194,0.09084289196408568,0.2552017639060966,0.8661698442697525,0.34642094017094016,0.3248175182481752,0.171875,0.6503313846979615,0.02,0.02,outputs/segregated_results/commercial-base/raw/commercial-new/deepseek_chat_P1_few_shot_python_400_v1.jsonl,outputs\segregated_results\commercial-base\may2026\commercial-new\deepseek_chat_P1_few_shot_python_400_v1_summary.json,outputs\segregated_results\commercial-base\may2026\commercial-new\deepseek_chat_P1_few_shot_python_400_v1_code_grounded_summary.json
commercial-new,gemini-3-flash-preview,python,ZS,400,19.61804725,16.1225,0.02246939243268421,0.30253163437448166,0.08331482272036543,0.24849942126790112,0.8663989114761352,0.36933760683760686,0.3795620437956204,0.0625,0.6223363788053815,0.005,0.005,outputs/segregated_results/commercial-base/raw/commercial-new/gemini_3_flash_preview_P1_zero_shot_python_400_v1.jsonl,outputs\segregated_results\commercial-base\may2026\commercial-new\gemini_3_flash_preview_P1_zero_shot_python_400_v1_summary.json,outputs\segregated_results\commercial-base\correctness\gemini_3_flash_preview_P1_zero_shot_python_400_v1_correctness.json_summary.json
commercial-new,gemini-3-flash-preview,python,OS,400,9.7514155,16.84,0.02227781211812128,0.30732938068977794,0.08330191622845134,0.25192193875819235,0.8673364551365376,0.37650335775335775,0.354014598540146,0.03125,0.6378554509282272,0.0075,0.0075,outputs/segregated_results/commercial-base/raw/commercial-new/gemini_3_flash_preview_P1_one_shot_python_400_v1.jsonl,outputs\segregated_results\commercial-base\may2026\commercial-new\gemini_3_flash_preview_P1_one_shot_python_400_v1_summary.json,outputs\segregated_results\commercial-base\may2026\commercial-new\gemini_3_flash_preview_P1_one_shot_python_400_v1_code_grounded_summary.json
commercial-new,gemini-3-flash-preview,python,FS,400,8.9982195,16.6425,0.022933222593401068,0.30886150671097523,0.08612365090258463,0.25300800093626474,0.8672042596340179,0.36672008547008544,0.33941605839416056,0.09375,0.638823350952731,0.0125,0.0125,outputs/segregated_results/commercial-base/raw/commercial-new/gemini_3_flash_preview_P1_few_shot_python_400_v1.jsonl,outputs\segregated_results\commercial-base\may2026\commercial-new\gemini_3_flash_preview_P1_few_shot_python_400_v1_summary.json,outputs\segregated_results\commercial-base\may2026\commercial-new\gemini_3_flash_preview_P1_few_shot_python_400_v1_code_grounded_summary.json
commercial-new,gpt-5.1,python,ZS,400,,19.5525,0.02232878852228661,0.31500605367418766,0.08519870055558168,0.25352791936126445,0.8654525330662728,0.503998778998779,0.635036496350365,0.28125,0.44284634951750856,0.0175,0.0175,outputs/segregated_results/commercial-base/raw/commercial-new/gpt_5_1_P1_zero_shot_python_400_v2.jsonl,outputs\segregated_results\commercial-base\may2026\commercial-new\gpt_5_1_P1_zero_shot_python_400_v2_summary.json,outputs\segregated_results\commercial-base\correctness\gpt_5_1_P1_zero_shot_python_400_v2_correctness.json_summary.json
commercial-new,gpt-5.1,python,OS,400,,20.445,0.021820026974888367,0.3126103900911363,0.08144452312052475,0.2506644885666093,0.8652833543717862,0.4588751526251526,0.583941605839416,0.328125,0.4899198959172005,0.02,0.02,outputs/segregated_results/commercial-base/raw/commercial-new/gpt_5_1_P1_one_shot_python_400_v1.jsonl,outputs\segregated_results\commercial-base\may2026\commercial-new\gpt_5_1_P1_one_shot_python_400_v1_summary.json,outputs\segregated_results\commercial-base\may2026\commercial-new\gpt_5_1_P1_one_shot_python_400_v1_code_grounded_summary.json
commercial-new,gpt-5.1,python,FS,400,,21.0025,0.01903793832465856,0.30612355309143346,0.07647030377527438,0.24202974606486136,0.8644382216036319,0.4867063492063492,0.5912408759124088,0.421875,0.46223410461954934,0.0175,0.02,outputs/segregated_results/commercial-base/raw/commercial-new/gpt_5_1_P1_few_shot_python_400_v1.jsonl,outputs\segregated_results\commercial-base\may2026\commercial-new\gpt_5_1_P1_few_shot_python_400_v1_summary.json,outputs\segregated_results\commercial-base\may2026\commercial-new\gpt_5_1_P1_few_shot_python_400_v1_code_grounded_summary.json
commercial-new,gpt-5.1-codex,python,ZS,400,2.368056045705003,18.585,0.01716519210801154,0.2861892114680708,0.06972834077368602,0.22935627128572322,0.8611656715598287,0.5639346764346764,0.5328467153284672,0.453125,0.42970822977561524,0.01,0.01,outputs/segregated_results/commercial-base/raw/commercial-new/gpt_5_1_codex_P1_zero_shot_python_400_v1.jsonl,outputs\segregated_results\commercial-base\may2026\commercial-new\gpt_5_1_codex_P1_zero_shot_python_400_v1_summary.json,outputs\segregated_results\commercial-base\correctness\gpt_5_1_codex_P1_zero_shot_python_400_v1_correctness.json_summary.json
