artifact_id,repository_relative_path,source_relative_path,sha256,size_bytes,publication_status,reason
pub_00001,prompts/core_400/java/fs/prompt_input_400.jsonl,data/processed/prompted_shots/P1_few_shot_java_400.jsonl,827ff09d64bd7cd721cca3a2821db2ba2a3f5c70470e7d8af2c08ba47438438d,1944000,INCLUDE_GIT,authoritative selected compact public evidence
pub_00002,prompts/core_400/javascript/fs/prompt_input_400.jsonl,data/processed/prompted_shots/P1_few_shot_javascript_400.jsonl,ffa10e698a1ac006c14f430d22316b5e6536073bf924e676263830005020ab73,1712265,INCLUDE_GIT,authoritative selected compact public evidence
pub_00003,prompts/core_400/python/fs/prompt_input_400.jsonl,data/processed/prompted_shots/P1_few_shot_python_400.jsonl,210a5358362d7ddb5cc8f09f151a50d91b0628e888f95cf588a90d47d23bd0ef,1818682,INCLUDE_GIT,authoritative selected compact public evidence
pub_00004,prompts/core_400/java/os/prompt_input_400.jsonl,data/processed/prompted_shots/P1_one_shot_java_400.jsonl,d93c65937a96d86555975122e05341d8f12d66cdb4526e62c9fb95b7894b6c7b,1206000,INCLUDE_GIT,authoritative selected compact public evidence
pub_00005,prompts/core_400/javascript/os/prompt_input_400.jsonl,data/processed/prompted_shots/P1_one_shot_javascript_400.jsonl,ea86942562abf78897675095ea16eadc3e723877699a40045f700648f3998073,1333065,INCLUDE_GIT,authoritative selected compact public evidence
pub_00006,prompts/core_400/python/os/prompt_input_400.jsonl,data/processed/prompted_shots/P1_one_shot_python_400.jsonl,700dbdb08b80e7a51871def52a4f252e669679a5e17778113c8fa5420f219d7b,1172282,INCLUDE_GIT,authoritative selected compact public evidence
pub_00007,prompts/core_400/java/zs/prompt_input_400.jsonl,data/processed/prompted_shots/P1_zero_shot_java_400_ZS.jsonl,2a3ddb50ad9374eb0a2213b1a2c2741a424f18ee719e039418b28c30a8bb0b36,923200,INCLUDE_GIT,authoritative selected compact public evidence
pub_00008,prompts/core_400/javascript/zs/prompt_input_400.jsonl,data/processed/prompted_shots/P1_zero_shot_javascript_400_ZS.jsonl,b18a0c35fb67f2c070234c4ae7b01c0caafc45a7edde57b94e12098881d94076,972265,INCLUDE_GIT,authoritative selected compact public evidence
pub_00009,prompts/core_400/python/zs/prompt_input_400.jsonl,data/processed/prompted_shots/P1_zero_shot_python_400_ZS.jsonl,f9e9579844b7ea26734a077d7333056d9ccc193fd043121e14deba51df5a593c,904282,INCLUDE_GIT,authoritative selected compact public evidence
pub_00010,figures/chapter4/eda/eda_code_length_distribution.png,figures/eda/eda_code_length_distribution.png,defa6ea59e62b21ff88868bdc74af1cac0d82d77a44092cfbb2d9498d7b285d8,75859,INCLUDE_GIT,authoritative selected compact public evidence
pub_00011,figures/chapter4/eda/eda_doc_length_distribution.png,figures/eda/eda_doc_length_distribution.png,9cccf9ab46fa9c53af54f91e0c6f92cec7b84309dcef1eb37b7dcd01a63f604c,78554,INCLUDE_GIT,authoritative selected compact public evidence
pub_00012,figures/chapter4/eda/eda_parameter_count_distribution.png,figures/eda/eda_parameter_count_distribution.png,073355dc7fb7f3f24c829a949ef28c52b022deb3dc0ccb46f8ee74381a668399,171934,INCLUDE_GIT,authoritative selected compact public evidence
pub_00013,figures/chapter4/eda/eda_records_by_language.png,figures/eda/eda_records_by_language.png,fdc8a335045c4dc2116561a00d466d8382d7f9a80cf781dc9c2ab6c7b201b591,81203,INCLUDE_GIT,authoritative selected compact public evidence
pub_00014,figures/chapter4/eda/eda_return_presence_by_language.png,figures/eda/eda_return_presence_by_language.png,c36e4f56854106a24a138b779b6ed933dc89f0fb5c26c595c9baf49d2038a876,89706,INCLUDE_GIT,authoritative selected compact public evidence
pub_00015,experiments/core_400/codegemma_2b_lora/java/fs/assessment/automatic_detailed.jsonl,outputs/evaluation-and-correctness-may2026/open-source-fine-tuned/codegemma_2b_lora_multilang/codegemma_2b_lora_multilang_P1_few_shot_java_400_v1_detailed.jsonl,4b233a9cfb5653e6ed6ae0905c8e363402e6e872c1c097e0478bbc52ae4d675b,338386,INCLUDE_GIT,authoritative selected compact public evidence
pub_00016,experiments/core_400/codegemma_2b_lora/javascript/fs/assessment/code_grounded_detailed.jsonl,outputs/evaluation-and-correctness-may2026/open-source-fine-tuned/codegemma_2b_lora_multilang/codegemma_2b_lora_multilang_P1_few_shot_javascript_400_v1_code_grounded_detailed.jsonl,0df3722416cb61941e0c0ada7d4d27aca9bfec47181bea5d0cc25539eec36d62,326635,INCLUDE_GIT,authoritative selected compact public evidence
pub_00017,experiments/core_400/codegemma_2b_lora/javascript/os/assessment/code_grounded_detailed.jsonl,outputs/evaluation-and-correctness-may2026/open-source-fine-tuned/codegemma_2b_lora_multilang/codegemma_2b_lora_multilang_P1_one_shot_javascript_400_v1_code_grounded_detailed.jsonl,163be31f2195d4276ad358e8767033f0fd3923962c8f13ea424c017a4f11574a,346264,INCLUDE_GIT,authoritative selected compact public evidence
pub_00018,experiments/core_400/codegemma_2b_lora/javascript/zs/assessment/code_grounded_detailed.jsonl,outputs/evaluation-and-correctness-may2026/open-source-fine-tuned/codegemma_2b_lora_multilang/codegemma_2b_lora_multilang_P1_zero_shot_javascript_400_v1_code_grounded_detailed.jsonl,232dc1c505778b90b8af433fc4d23ca927097446a3aa17a80701a59cc106b1df,339319,INCLUDE_GIT,authoritative selected compact public evidence
